POINTS,COORDINATE,DISTANCE,ANGLE
1,"(150, 150)",0.0,0
2,"(533.9612722764755, 338.3147026033948)",427.65,161
3,"(708.338712087304, 359.8682578739949)",175.7,125
4,"(900, 150)",284.22,0
